Date,Description,Category,Amount,Balance
2025-01-05,Office rent January,Rent,-500.0,9500.0
2025-01-06,Warehouse rent January,Rent,-500.0,9000.0
2025-01-08,Client invoice #101,Sales,1250.75,10250.75
2025-01-10,Client invoice #102,Sales,1250.75,11501.5
2025-01-12,Stationery order,Supplies,-89.99,11411.51
2025-01-15,Electricity bill,Utilities,-142.5,11269.01
2025-01-18,Client invoice #103,Sales,2400.0,13669.01
2025-01-20,Software subscription,Supplies,-49.0,13620.01
2025-01-22,Salaries January,Salaries,-3200.0,10420.01
2025-01-25,Client invoice #104,Sales,980.25,11400.26
2025-01-27,Internet bill,Utilities,-59.9,11340.36
2025-01-29,Client contract #105,Sales,50000.0,61340.36
2025-01-30,Bank fees,Fees,-25.0,61315.36
2025-01-31,Client invoice #106,Sales,310.4,61625.76
